dataset,ir,n3,svm_gmean,svm_f1,svm_rec,knn_gmean,knn_f1,knn_rec,rf_gmean,rf_f1,rf_rec,mlp_gmean,mlp_f1,mlp_rec,mean_gmean,mean_f1,mean_rec,n_3_imb,n_1_imb
ionosphere,7,0.08171206225680938,0.7255017484394892,0.9644656235014626,0.9911111111111112,0.6535805208817859,0.9571233221665366,0.9911111111111112,0.9267612325930692,0.9571233221665366,1.0,0.7790273902565306,0.9697413016691211,0.9911111111111112,0.7712177230427186,0.9703719789389146,0.9933333333333334,0.28791666666666665,0.32569444444444445
ionosphere,9,0.06399999999999995,0.8249672029342175,0.9837530632060785,1.0,0.661175390040764,0.9664763397173649,0.9911111111111112,0.9226744797097444,0.9664763397173649,0.9955555555555555,0.7535518771596006,0.9727848403175908,0.9888888888888889,0.7905922374610816,0.978274795614102,0.9938888888888888,0.28444444444444444,0.3155555555555556
ionosphere,11,0.03265306122448974,0.7916826770892744,0.9836585169544495,0.9977777777777778,0.8213813915827849,0.983561624214665,0.9933333333333334,0.9427984053701512,0.983561624214665,0.9977777777777778,0.8751707160064408,0.9878876678876679,0.9955555555555555,0.8577582975121629,0.987403124577471,0.9961111111111111,0.15444444444444444,0.21555555555555556
ionosphere,13,0.05371900826446285,0.6563714582173598,0.979359000046237,1.0,0.5878148495380797,0.973884204859826,0.9911111111111112,0.8861946730756998,0.973884204859826,0.9933333333333334,0.6311367086382413,0.9793785033987966,0.9955555555555555,0.6903794223673452,0.9803959643167521,0.9949999999999999,0.3279738562091503,0.3524183006535948
mammo-mass,1,0.2406947890818859,0.8113738099797508,0.8258129496934938,0.8784722222222221,0.8087450717577467,0.8099350083270135,0.8113425925925926,0.8124949831416968,0.8099350083270135,0.8100617283950617,0.6492981507156014,0.657163192865668,0.6858641975308641,0.7704780038986989,0.7763950889311073,0.7964351851851852,0.2109181141439206,0.38957816377171217
mammo-mass,3,0.195079086115993,0.8155851600282811,0.722338684979257,0.7508620689655172,0.7081442044617754,0.6002126907040963,0.5637931034482758,0.7726039151458883,0.6002126907040963,0.6761083743842364,0.5200897357615846,0.4365199874377229,0.47943349753694575,0.7041057538493822,0.6072608535216889,0.6175492610837439,0.2745571791404163,0.43523435696144075
mammo-mass,5,0.177734375,0.7909315072241686,0.6450996178219995,0.6941176470588235,0.5931385520211585,0.41929610553898977,0.3941176470588235,0.6867814278015045,0.41929610553898977,0.511764705882353,0.17496664717471422,0.12782622739018087,0.13529411764705884,0.5614545335553864,0.43561719613185396,0.4338235294117647,0.3469210635073701,0.49138999862239974
mammo-mass,7,0.1454918032786885,0.7254083681087233,0.5534146525099872,0.5826923076923077,0.584883460364941,0.4048902796002002,0.37692307692307697,0.6768372913526604,0.4048902796002002,0.5000000000000001,0.26433209896015764,0.16768542199488493,0.13205128205128205,0.5628653046966205,0.40531181777527997,0.3979166666666667,0.3536299765807962,0.46604215456674475
mammo-mass,9,0.12658227848101267,0.6693026539209641,0.45298460798460793,0.5033333333333333,0.4547813144577523,0.24323521933563658,0.23444444444444446,0.6562901647249862,0.24323521933563658,0.4688888888888888,0.11244606005547186,0.07384615384615384,0.0811111111111111,0.4732050482897937,0.3085111758316922,0.3219444444444444,0.39937216602720615,0.503014599631272
mammo-mass,11,0.1094420600858369,0.5918250550816542,0.41883597883597884,0.3875,0.5264033489955098,0.31763157894736843,0.29642857142857143,0.6357699056182765,0.31763157894736843,0.45,0.03493691794211562,0.01818181818181818,0.0125,0.4472338069093891,0.2947671841993924,0.28660714285714284,0.4021797874256891,0.49204347565003304
